Designator,Mid X,Mid Y,Layer,Rotation
C1,166.500000mm,-102.500000mm,Top,90
C2,147.500000mm,-102.500000mm,Top,90
C3,128.500000mm,-105.000000mm,Top,270
C4,109.500000mm,-102.500000mm,Top,90
C5,108.500000mm,-101.300000mm,Top,90
C6,119.500000mm,-101.200000mm,Top,90
C7,146.400000mm,-101.300000mm,Top,270
C8,157.400000mm,-101.300000mm,Top,270
J1,129.700000mm,-102.000000mm,Top,90
J2,111.960000mm,-102.000000mm,Top,90
J3,149.960000mm,-102.000000mm,Top,90
TP1,162.000000mm,-100.000000mm,Top,0
TP2,143.000000mm,-100.000000mm,Top,0
TP3,124.000000mm,-100.000000mm,Top,0
TP4,105.000000mm,-100.000000mm,Top,0
U1,162.000000mm,-105.000000mm,Top,0
U2,143.000000mm,-105.000000mm,Top,0
U3,124.000000mm,-105.000000mm,Top,0
U4,105.000000mm,-105.000000mm,Top,0
