Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",166.500000,-102.500000,90.000000,top
"C2","100n","C_0402_1005Metric",147.500000,-102.500000,90.000000,top
"C3","100n","C_0402_1005Metric",128.500000,-105.000000,-90.000000,top
"C4","100n","C_0402_1005Metric",109.500000,-102.500000,90.000000,top
"C5","100n","C_0402_1005Metric",108.500000,-101.300000,90.000000,top
"C6","100n","C_0402_1005Metric",119.500000,-101.200000,90.000000,top
"C7","100n","C_0402_1005Metric",146.400000,-101.300000,-90.000000,top
"C8","100n","C_0402_1005Metric",157.400000,-101.300000,-90.000000,top
"J1","BUS","PinHeader_1x04_P2.54mm_Vertical",129.700000,-102.000000,90.000000,top
"J2","B4_B3","PinHeader_1x03_P2.54mm_Vertical",111.960000,-102.000000,90.000000,top
"J3","B2_B1","PinHeader_1x03_P2.54mm_Vertical",149.960000,-102.000000,90.000000,top
"TP1","B1","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",162.000000,-100.000000,0.000000,top
"TP2","B2","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",143.000000,-100.000000,0.000000,top
"TP3","B3","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",124.000000,-100.000000,0.000000,top
"TP4","B4","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",105.000000,-100.000000,0.000000,top
"U1","TMP75","SO-8_3.9x4.9mm_P1.27mm",162.000000,-105.000000,0.000000,top
"U2","TMP75","SO-8_3.9x4.9mm_P1.27mm",143.000000,-105.000000,0.000000,top
"U3","TMP75","SO-8_3.9x4.9mm_P1.27mm",124.000000,-105.000000,0.000000,top
"U4","TMP75","SO-8_3.9x4.9mm_P1.27mm",105.000000,-105.000000,0.000000,top
