Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",37.620000,-5.200000,180.000000,top
"C2","20pF","C_0402_1005Metric",28.500000,-5.300000,90.000000,top
"C3","20pF","C_0402_1005Metric",28.500000,-12.900000,-90.000000,top
"C4","100nF","C_0402_1005Metric",35.600000,-12.800000,180.000000,top
"C5","100nF","C_0402_1005Metric",46.100000,-14.200000,0.000000,top
"C6","100nF","C_0402_1005Metric",45.800000,-4.800000,90.000000,top
"C7","4.7uF","C_0805_2012Metric",26.100000,-7.200000,90.000000,top
"C8","1uF","C_0402_1005Metric",35.600000,-11.800000,180.000000,top
"C9","10nF","C_0402_1005Metric",35.600000,-13.800000,180.000000,top
"C10","1uF","C_0402_1005Metric",18.000000,-7.000000,-90.000000,top
"C11","1uF","C_0402_1005Metric",23.000000,-8.000000,90.000000,top
"C12","1uF","C_0402_1005Metric",3.300000,-8.400000,180.000000,top
"D1","LED_3V3","LED_0603_1608Metric",20.700000,-4.700000,0.000000,top
"D2","LED_ACT","LED_0603_1608Metric",35.600000,-4.200000,90.000000,top
"J1","SWD","PinHeader_1x05_P2.54mm_Vertical",3.925000,-6.000000,90.000000,top
"J3","VOLTAGES","PinHeader_1x05_P2.54mm_Horizontal",48.800000,-2.400000,90.000000,top
"J4","LCD","PinHeader_1x05_P2.54mm_Horizontal",64.000000,-12.525000,0.000000,top
"J5","USB","JUSHUO_AFC07-S05ECC-00_1x05_1MP_P0.5mm_Horizontal",34.900000,-21.300000,0.000000,top
"J6","1WIRE","PinHeader_1x03_P2.54mm_Horizontal",62.775000,-8.375000,90.000000,top
"R1","510","R_0402_1005Metric",18.100000,-4.700000,180.000000,top
"R2","510","R_0402_1005Metric",35.600000,-6.800000,-90.000000,top
"R3","1M","R_0402_1005Metric",35.200000,-9.100000,-90.000000,top
"R4","47k","R_0402_1005Metric",56.900000,-5.200000,-90.000000,top
"R5","47k","R_0402_1005Metric",55.900000,-5.200000,90.000000,top
"R6","47k","R_0402_1005Metric",54.400000,-5.200000,-90.000000,top
"R7","47k","R_0402_1005Metric",53.400000,-5.200000,90.000000,top
"R8","47k","R_0402_1005Metric",51.900000,-5.200000,-90.000000,top
"R9","47k","R_0402_1005Metric",50.900000,-5.200000,90.000000,top
"R10","22","R_0402_1005Metric",35.200000,-17.000000,90.000000,top
"R11","22","R_0402_1005Metric",34.100000,-17.000000,90.000000,top
"R12","47k","R_0402_1005Metric",49.300000,-5.200000,-90.000000,top
"R13","47k","R_0402_1005Metric",48.300000,-5.200000,90.000000,top
"R14","4.7k","R_0402_1005Metric",36.300000,-17.000000,90.000000,top
"R15","10K","R_0402_1005Metric",5.300000,-8.400000,180.000000,top
"R16","150","R_0402_1005Metric",59.700000,-6.100000,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",41.900000,-9.600000,0.000000,top
"U2","XC6206","SOT-23",20.500000,-7.500000,90.000000,top
"Y1","8 MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",31.000000,-9.100000,-90.000000,top
