Designator,Mid X,Mid Y,Layer,Rotation
C1,37.620000mm,-5.200000mm,Top,180
C2,28.500000mm,-5.300000mm,Top,90
C3,28.500000mm,-12.900000mm,Top,270
C4,35.600000mm,-12.800000mm,Top,180
C5,46.100000mm,-14.200000mm,Top,0
C6,46.100000mm,-5.300000mm,Top,0
C7,26.100000mm,-7.200000mm,Top,90
C8,35.600000mm,-11.800000mm,Top,180
C9,35.600000mm,-13.800000mm,Top,180
C10,18.000000mm,-7.000000mm,Top,270
C11,23.000000mm,-8.000000mm,Top,90
C12,3.300000mm,-8.400000mm,Top,180
D1,20.700000mm,-4.700000mm,Top,0
D2,35.600000mm,-4.200000mm,Top,90
D3,19.300000mm,-18.200000mm,Top,270
D4,24.500000mm,-16.700000mm,Top,0
J1,3.925000mm,-6.000000mm,Top,90
J2,15.975000mm,-22.675000mm,Top,180
J3,46.325000mm,-2.375000mm,Top,90
J5,35.000000mm,-21.100000mm,Top,180
J6,60.260000mm,-8.400000mm,Top,90
R1,18.100000mm,-4.700000mm,Top,180
R2,35.600000mm,-6.800000mm,Top,270
R3,35.200000mm,-9.100000mm,Top,270
R4,55.800000mm,-5.200000mm,Top,270
R5,56.900000mm,-5.200000mm,Top,90
R6,53.400000mm,-5.200000mm,Top,270
R7,54.500000mm,-5.200000mm,Top,90
R8,50.900000mm,-5.200000mm,Top,270
R9,52.000000mm,-5.200000mm,Top,90
R10,35.000000mm,-16.800000mm,Top,90
R11,34.000000mm,-16.800000mm,Top,90
R12,48.300000mm,-5.200000mm,Top,270
R13,49.400000mm,-5.200000mm,Top,90
R14,36.000000mm,-16.800000mm,Top,90
R15,5.300000mm,-8.400000mm,Top,180
R16,61.500000mm,-11.300000mm,Top,270
R17,59.900000mm,-10.800000mm,Top,0
R18,59.900000mm,-11.900000mm,Top,0
R19,45.900000mm,-20.000000mm,Top,90
R20,48.400000mm,-20.000000mm,Top,90
R21,51.600000mm,-11.700000mm,Top,180
R22,51.600000mm,-10.700000mm,Top,180
R23,51.600000mm,-9.700000mm,Top,180
U1,41.900000mm,-9.600000mm,Top,270
U2,20.500000mm,-7.500000mm,Top,270
Y1,31.000000mm,-9.100000mm,Top,270
